jahr,gemeinde_nummer,gemeinde,bfs_bezirk,bezirk,nationalitaet_code,nationalitaet,anzahl_personen
1998,2895,Waldenburg,1305,Bezirk Waldenburg,2,Ausland,446
1999,2763,Arlesheim,1301,Bezirk Arlesheim,1,Schweiz,6843
1999,2763,Arlesheim,1301,Bezirk Arlesheim,2,Ausland,1670
1999,2770,Muttenz,1301,Bezirk Arlesheim,1,Schweiz,14111
1999,2770,Muttenz,1301,Bezirk Arlesheim,2,Ausland,2628
1999,2821,Arisdorf,1303,Bezirk Liestal,1,Schweiz,1267
1999,2821,Arisdorf,1303,Bezirk Liestal,2,Ausland,118
1999,2822,Augst,1303,Bezirk Liestal,1,Schweiz,632
1999,2822,Augst,1303,Bezirk Liestal,2,Ausland,181
1999,2829,Liestal,1303,Bezirk Liestal,1,Schweiz,9475
1999,2829,Liestal,1303,Bezirk Liestal,2,Ausland,3188
1999,2841,Anwil,1304,Bezirk Sissach,1,Schweiz,440
1999,2841,Anwil,1304,Bezirk Sissach,2,Ausland,35
1999,2849,Itingen,1304,Bezirk Sissach,1,Schweiz,1390
1999,2849,Itingen,1304,Bezirk Sissach,2,Ausland,242
1999,2861,Sissach,1304,Bezirk Sissach,1,Schweiz,4425
1999,2861,Sissach,1304,Bezirk Sissach,2,Ausland,918
1999,2895,Waldenburg,1305,Bezirk Waldenburg,1,Schweiz,970
1999,2895,Waldenburg,1305,Bezirk Waldenburg,2,Ausland,433
2000,2763,Arlesheim,1301,Bezirk Arlesheim,1,Schweiz,6864
2000,2763,Arlesheim,1301,Bezirk Arlesheim,2,Ausland,1694
2000,2770,Muttenz,1301,Bezirk Arlesheim,1,Schweiz,14049
2000,2770,Muttenz,1301,Bezirk Arlesheim,2,Ausland,2625
2000,2821,Arisdorf,1303,Bezirk Liestal,1,Schweiz,1275
2000,2821,Arisdorf,1303,Bezirk Liestal,2,Ausland,126
2000,2822,Augst,1303,Bezirk Liestal,1,Schweiz,760
2000,2822,Augst,1303,Bezirk Liestal,2,Ausland,186
2000,2829,Liestal,1303,Bezirk Liestal,1,Schweiz,9589
2000,2829,Liestal,1303,Bezirk Liestal,2,Ausland,3286
2000,2841,Anwil,1304,Bezirk Sissach,1,Schweiz,456
2000,2841,Anwil,1304,Bezirk Sissach,2,Ausland,37
2000,2849,Itingen,1304,Bezirk Sissach,1,Schweiz,1394
2000,2849,Itingen,1304,Bezirk Sissach,2,Ausland,263
2000,2861,Sissach,1304,Bezirk Sissach,1,Schweiz,4488
2000,2861,Sissach,1304,Bezirk Sissach,2,Ausland,926
2000,2895,Waldenburg,1305,Bezirk Waldenburg,1,Schweiz,957
2000,2895,Waldenburg,1305,Bezirk Waldenburg,2,Ausland,426
2001,2763,Arlesheim,1301,Bezirk Arlesheim,1,Schweiz,7016
